SENT	1579E-SHIR,8.3
1	sir	H	סיר	syr	song
2	hsirim	H	הסירים	hsyryM	the_songs
3	eyn	D	אײן	AYN	_
4	gizng	N	גיזנג	gyzng	_
5	ibr	P	איבר	Aybr	_
6	ali	Q	אַלי	Aaly	_
7	gizng	N	גיזנג	gyzng	_

SENT	1579E-SHIR,8.4
1	eyn	D	אײן	AYN	_
2	andr	ADJ	אַנדר	Aandr	_
3	gizng	N	גיזנג	gyzng	_
4	iz	VBF	איז	Ayz	_
5	kds	N	קדס	kds	_

SENT	1579E-SHIR,8.5
1	das	D	דת	dS	_
2	gizng	N	גיזנג	gyzng	_
3	iz	VBF	איז	Ayz	_
4	kds	H	קדס	kds	blessing
5	kdsim	H	קדסים	kdsyM	blessings

SENT	1579E-SHIR,8.6
1	das	D	דת	dS	_
2	hat	HVF	האַט	hAat	_
3	gizungn	VBN	גיזונגן	gyzvngN	_
4	eyn	D	אײן	AYN	_
5	nbia	H	נביִאַ	nbyiAa	prophet
6	bn	H	בן	bN	son
7	nbia	H	נביִאַ	nbyiAa	prophet
8	eyn	D	אײן	AYN	_
9	mlkh	H	מלך	mlX	king
10	bn	H	בן	bN	son
11	mlkh	H	מלך	mlX	king
12	eyn	D	אײן	AYN	_
13	khkhm	H	ככם	xxM	wise_man
14	bn	H	בן	bN	son
15	khkhm	H	ככם	xxM	wise_man

SENT	1579E-SHIR,8.7
1	das	D	דת	dS	_
2	hat	HVF	האַט	hAat	_
3	gizungn	VBN	גיזונגן	gyzvngN	_
4	shlmh	NPR	שלמה	$lmh	_
5	hmlkh	H	המלך	hmlX	the_king
6	tsu	P	צו	qv	_
7	kinig	N	קיניג	kynyg	_
8	hkbh	H	הקבה	hkbh	the_holy_blessed_he
9	der	WPRO	דער	der	_
10	da	ADV	דאַ	dAa	_
11	heyst	VBF	הײסט	hYst	_
12	shlmh	NPR	שלמה	$lmh	_
13	drum	DR+P	דרום	drvM	_
14	dz	C	דז	dz	_
15	der	D	דער	der	_
16	frid	N	פֿריד	fryd	_
17	iz	VBF	איז	Ayz	_
18	zeyn	PRO$	זײן	zYN	_

SENT	1579E-SHIR,8.8
1	tsihn	NUM	ציהן	qyhN	_
2	gizng	N	גיזנג	gyzng	_
3	un'	CONJ	אונ'	Avn'	_
4	lub	N	לוב	lvb	_
5	zeyn	BEF	זײן	zYN	_
6	gizungn	VAN	גיזונגן	gyzvngN	_
7	un'	CONJ	אונ'	Avn'	_
8	gizagt	VAN	גיזאַגט	gyzAagt	_
9	givarn	RDN	גיװאַרן	gyVAarN	_
10	in	P	אין	AyN	_
11	der	D	דער	der	_
12	velt	N	װעלט	Velt	_

SENT	1579E-SHIR,8.9
1	nakh	ADV	נ"ך	n"X	_
2	iz	BEF	איז	Ayz	_
3	ds	D	דס	ds	_
4	gizng	N	גיזנג	gyzng	_
5	shir	H	שיר	$yr	song
6	hshirim	H	השירים	h$yryM	the_songs
7	min	QR	מין	myN	_
8	gilubt	VAN	גילובט	gylvbt	_
9	ven	P	װען	VeN	_
10	zi	PRO	זי	zy	_
11	al	Q	אַל	Aal	_

SENT	1579E-SHIR,8.10
1	das	D	דת	dS	_
2	erst	ADJ	ערסט	erst	_
3	gizng	N	גיזנג	gyzng	_
4	hut	HVF	הוט	hvt	_
5	gizungn	VBN	גיזונגן	gyzvngN	_
6	adm	NPR	אַדם	AadM	_
7	hrashun	H	הראַשון	hrAa$vN	the_first
8	in	P	אין	AyN	_
9	der	D	דער	der	_
10	tseyt	N	צײט	qYt	_
11	da	C	דאַ	dAa	_
12	im	PRO	אים	AyM	_
13	hkbh	H	הקבה	hkbh	the_holy_blessed_he
14	hat	HVF	האַט	hAat	_
15	ver_gebn	VBN	װער_געבן	Ver_gebN	_
16	zeyni	PRO$	זײני	zYny	_
17	zind	N	זינד	zynd	_
18	da	C	דאַ	dAa	_
19	der	D	דער	der	_
20	heylig	ADJ	הײליג	hYlyg	_
21	shbt	NPR	שבט	$bt	_
22	kam	VBF	קאַם	kAaM	_
23	un'	CONJ	אונ'	Avn'	_
24	hat	HVF	האַט	hAat	_
25	gibetn	VBN	גיבעטן	gybetN	_
26	vr	P	װר	Vr	_
27	im	PRO	אים	AyM	_
28	un'	CONJ	אונ'	Avn'	_
29	hut	HVF	הוט	hvt	_
30	gisprakhin	VBN	גיספּראַכין	gysprAaxyN	_
31	her	N	הער	her	_
32	al	Q	אַל	Aal	_
33	dr	D	דר	dr	_
34	velt	N	װעלט	Velt	_
35	ven	C	װען	VeN	_
36	du	PRO	דו	dv	_
37	verst	RDF	װערסט	Verst	_
38	den	D	דען	deN	_
39	adm	NPR	אַדם	AadM	_
40	titn	VB	טיטן	tytN	_
41	drum	DR+P	דרום	drvM	_
42	dz	C	דז	dz	_
43	er	PRO	ער	er	_
44	deyni	PRO$	דײני	dYny	_
45	rid	N	ריד	ryd	_
46	hat	HVF	האַט	hAat	_
47	gbrakhin	VBN	גבראַכין	gbrAaxyN	_
48	un'	CONJ	אונ'	Avn'	_
49	hat	HVF	האַט	hAat	_
50	nit	NEG	ניט	nyt	_
51	gihltn	VBN	גיהלטן	gyhltN	_
52	vas	WPRO	װאַס	VAas	_
53	du	PRO	דו	dv	_
54	im	PRO	אים	AyM	_
55	ver_batn	VBN	װער_באַטן	Ver_bAatN	_
56	hast	HVF	האַסט	hAast	_
57	da	C	דאַ	dAa	_
58	du	PRO	דו	dv	_
59	tsu	P	צו	qv	_
60	im	PRO	אים	AyM	_
61	zagst	VBF	זאַגסט	zAagst	_
62	in	P	אין	AyN	_
63	tag	N	תּג	Tg	_
64	deyns	PRO$	דײנס	dYns	_
65	esin	VB	עסין	esyN	_
66	fun	P	פֿון	fvN	_
67	den	D	דען	deN	_
68	boym	N	בױם	bWM	_
69	da	ADV	דאַ	dAa	_
70-71	mustu	MDF~PRO	מוסטו	mvstv	_
70	mus	MDF	מוס	mvs	_
71	tu	PRO	טו	tv	_
72	sterbn	VB	סטערבן	sterbN	_
73-74	verstu	RDF~PRO	װערסטו	Verstv	_
73	vers	RDF	װערס	Vers	_
74	tu	PRO	טו	tv	_
